distance_order	source_ranked_newick_line	source_composition_order	bootstrap_replicate_id	bootstrap_replicate_index_zero_based	source_replicate_alignment_file	composition_distance_to_source_alignment	previous_robinson_foulds	previous_weighted_robinson_foulds	cumulative_robinson_foulds	cumulative_weighted_robinson_foulds	primary_metric	secondary_metric	path_method
1	35	35	BS133	133	bootstrap.BS133	9266.59247	0	0	0	0	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
2	138	138	BS157	157	bootstrap.BS157	15515.130228	0.016393443	0.67358	0.016393443	0.67358	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
3	143	143	BS96	96	bootstrap.BS96	16117.766657	0.024590164	0.763835	0.040983607	1.437415	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
4	114	114	BS8	8	bootstrap.BS8	14185.48991	0.024590164	0.826415	0.06557377	2.26383	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
5	12	12	BS10	10	bootstrap.BS10	7678.94498	0.057377049	0.93632	0.12295082	3.20015	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
6	180	180	BS196	196	bootstrap.BS196	20164.94721	0.040983607	1.00722	0.163934426	4.20737	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
7	29	29	BS86	86	bootstrap.BS86	8804.824587	0.024590164	0.788155	0.18852459	4.995525	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
8	7	7	BS23	23	bootstrap.BS23	6314.50093	0.016393443	0.92141	0.204918033	5.916935	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
9	26	26	BS145	145	bootstrap.BS145	8531.055386	0.024590164	0.72308	0.229508197	6.640015	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
10	196	196	BS102	102	bootstrap.BS102	24837.351751	0.008196721	0.78252	0.237704918	7.422535	robinson_foulds	weighted_robinson_foulds	rf_nearest_neighbor_2opt
