distance_order	source_ranked_newick_line	source_composition_order	bootstrap_replicate_id	bootstrap_replicate_index_zero_based	source_replicate_alignment_file	composition_distance_to_source_alignment	previous_robinson_foulds	previous_weighted_robinson_foulds	cumulative_robinson_foulds	cumulative_weighted_robinson_foulds	primary_metric	secondary_metric	path_method
1	91	91	BS106	106	bootstrap.BS106	12608.24627	0	0	0	0	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
2	77	77	BS57	57	bootstrap.BS57	11887.27799	0.016393443	0.653765	0.016393443	0.653765	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
3	157	157	BS125	125	bootstrap.BS125	17125.733211	0.024590164	0.72589	0.040983607	1.379655	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
4	171	171	BS163	163	bootstrap.BS163	18386.081529	0.016393443	0.73032	0.057377049	2.109975	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
5	121	121	BS31	31	bootstrap.BS31	14722.491705	0.008196721	0.73191	0.06557377	2.841885	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
6	62	62	BS105	105	bootstrap.BS105	10919.109396	0.016393443	0.755935	0.081967213	3.59782	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
7	9	9	BS80	80	bootstrap.BS80	7003.156288	0.040983607	0.75885	0.12295082	4.35667	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
8	30	30	BS88	88	bootstrap.BS88	8824.379412	0.040983607	0.758705	0.163934426	5.115375	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
9	47	47	BS139	139	bootstrap.BS139	10089.046437	0.032786885	0.739	0.196721311	5.854375	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
10	195	195	BS126	126	bootstrap.BS126	24793.850165	0.040983607	0.738595	0.237704918	6.59297	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
11	167	167	BS186	186	bootstrap.BS186	17811.619578	0.024590164	0.84659	0.262295082	7.43956	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
12	58	58	BS53	53	bootstrap.BS53	10703.035551	0.057377049	0.951295	0.319672131	8.390855	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
13	86	86	BS78	78	bootstrap.BS78	12530.809152	0.040983607	0.86174	0.360655738	9.252595	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
14	143	143	BS96	96	bootstrap.BS96	16117.766657	0.040983607	0.788045	0.401639344	10.04064	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
15	81	81	BS118	118	bootstrap.BS118	12107.795836	0.024590164	0.703265	0.426229508	10.743905	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
16	138	138	BS157	157	bootstrap.BS157	15515.130228	0.024590164	0.71825	0.450819672	11.462155	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
17	35	35	BS133	133	bootstrap.BS133	9266.59247	0.016393443	0.67358	0.467213115	12.135735	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
18	69	69	BS108	108	bootstrap.BS108	11453.769685	0.024590164	0.75381	0.491803279	12.889545	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
19	170	170	BS199	199	bootstrap.BS199	18252.61521	0.032786885	0.802205	0.524590164	13.69175	weighted_robinson_foulds	robinson_foulds	weighted_rf_nearest_neighbor_2opt
