rank	rep_index	distance	tree_path
141	174	2362.586718	out/runs/run_20260204_131140/24/rep_174/rep_174.treefile
142	20	2366.796780	out/runs/run_20260204_131140/24/rep_20/rep_20.treefile
143	48	2385.672861	out/runs/run_20260204_131140/24/rep_48/rep_48.treefile
144	143	2403.573381	out/runs/run_20260204_131140/24/rep_143/rep_143.treefile
145	90	2409.807046	out/runs/run_20260204_131140/24/rep_90/rep_90.treefile
146	88	2413.500984	out/runs/run_20260204_131140/24/rep_88/rep_88.treefile
147	65	2434.910676	out/runs/run_20260204_131140/24/rep_65/rep_65.treefile
148	107	2447.561848	out/runs/run_20260204_131140/24/rep_107/rep_107.treefile
149	102	2455.918362	out/runs/run_20260204_131140/24/rep_102/rep_102.treefile
150	67	2468.606489	out/runs/run_20260204_131140/24/rep_67/rep_67.treefile
151	150	2501.305859	out/runs/run_20260204_131140/24/rep_150/rep_150.treefile
152	0	2557.504643	out/runs/run_20260204_131140/24/rep_0/rep_0.treefile
153	193	2572.632698	out/runs/run_20260204_131140/24/rep_193/rep_193.treefile
154	191	2579.384229	out/runs/run_20260204_131140/24/rep_191/rep_191.treefile
155	36	2582.922763	out/runs/run_20260204_131140/24/rep_36/rep_36.treefile
156	86	2605.513769	out/runs/run_20260204_131140/24/rep_86/rep_86.treefile
157	162	2626.286161	out/runs/run_20260204_131140/24/rep_162/rep_162.treefile
158	91	2644.279864	out/runs/run_20260204_131140/24/rep_91/rep_91.treefile
159	44	2661.221148	out/runs/run_20260204_131140/24/rep_44/rep_44.treefile
160	69	2672.367303	out/runs/run_20260204_131140/24/rep_69/rep_69.treefile
161	60	2677.688369	out/runs/run_20260204_131140/24/rep_60/rep_60.treefile
162	109	2692.083951	out/runs/run_20260204_131140/24/rep_109/rep_109.treefile
163	78	2703.014428	out/runs/run_20260204_131140/24/rep_78/rep_78.treefile
164	93	2763.142052	out/runs/run_20260204_131140/24/rep_93/rep_93.treefile
165	46	2770.973656	out/runs/run_20260204_131140/24/rep_46/rep_46.treefile
166	39	2778.704194	out/runs/run_20260204_131140/24/rep_39/rep_39.treefile
167	161	2780.489525	out/runs/run_20260204_131140/24/rep_161/rep_161.treefile
168	74	2810.778362	out/runs/run_20260204_131140/24/rep_74/rep_74.treefile
169	166	2822.699771	out/runs/run_20260204_131140/24/rep_166/rep_166.treefile
170	159	2836.257041	out/runs/run_20260204_131140/24/rep_159/rep_159.treefile
171	83	2842.189473	out/runs/run_20260204_131140/24/rep_83/rep_83.treefile
172	131	2863.554260	out/runs/run_20260204_131140/24/rep_131/rep_131.treefile
173	43	2867.634391	out/runs/run_20260204_131140/24/rep_43/rep_43.treefile
174	192	2913.471297	out/runs/run_20260204_131140/24/rep_192/rep_192.treefile
175	82	2916.145915	out/runs/run_20260204_131140/24/rep_82/rep_82.treefile
176	168	2918.970709	out/runs/run_20260204_131140/24/rep_168/rep_168.treefile
177	124	2943.188577	out/runs/run_20260204_131140/24/rep_124/rep_124.treefile
178	101	2982.330465	out/runs/run_20260204_131140/24/rep_101/rep_101.treefile
179	154	2982.972678	out/runs/run_20260204_131140/24/rep_154/rep_154.treefile
180	57	2986.690978	out/runs/run_20260204_131140/24/rep_57/rep_57.treefile
181	140	2992.422764	out/runs/run_20260204_131140/24/rep_140/rep_140.treefile
182	59	3062.036414	out/runs/run_20260204_131140/24/rep_59/rep_59.treefile
183	58	3151.415872	out/runs/run_20260204_131140/24/rep_58/rep_58.treefile
184	75	3165.307568	out/runs/run_20260204_131140/24/rep_75/rep_75.treefile
185	158	3211.630116	out/runs/run_20260204_131140/24/rep_158/rep_158.treefile
186	105	3260.124537	out/runs/run_20260204_131140/24/rep_105/rep_105.treefile
187	47	3291.013522	out/runs/run_20260204_131140/24/rep_47/rep_47.treefile
188	169	3338.764143	out/runs/run_20260204_131140/24/rep_169/rep_169.treefile
189	172	3433.669175	out/runs/run_20260204_131140/24/rep_172/rep_172.treefile
190	119	3434.860696	out/runs/run_20260204_131140/24/rep_119/rep_119.treefile
191	87	3525.574989	out/runs/run_20260204_131140/24/rep_87/rep_87.treefile
192	164	3527.137933	out/runs/run_20260204_131140/24/rep_164/rep_164.treefile
193	89	3558.525256	out/runs/run_20260204_131140/24/rep_89/rep_89.treefile
194	134	3615.929479	out/runs/run_20260204_131140/24/rep_134/rep_134.treefile
195	31	3621.385094	out/runs/run_20260204_131140/24/rep_31/rep_31.treefile
196	188	3690.801945	out/runs/run_20260204_131140/24/rep_188/rep_188.treefile
197	129	4007.085599	out/runs/run_20260204_131140/24/rep_129/rep_129.treefile
198	157	4017.170646	out/runs/run_20260204_131140/24/rep_157/rep_157.treefile
199	54	4112.159408	out/runs/run_20260204_131140/24/rep_54/rep_54.treefile
