rank	rep_index	distance	tree_path
0	50	2550.388990	out/runs/run_20260204_131140/125/rep_50/rep_50.treefile
1	67	3411.217378	out/runs/run_20260204_131140/125/rep_67/rep_67.treefile
2	13	3864.148677	out/runs/run_20260204_131140/125/rep_13/rep_13.treefile
3	52	3964.393144	out/runs/run_20260204_131140/125/rep_52/rep_52.treefile
4	7	4787.528799	out/runs/run_20260204_131140/125/rep_7/rep_7.treefile
5	37	5299.788392	out/runs/run_20260204_131140/125/rep_37/rep_37.treefile
6	23	6312.023289	out/runs/run_20260204_131140/125/rep_23/rep_23.treefile
7	161	6648.943300	out/runs/run_20260204_131140/125/rep_161/rep_161.treefile
8	80	7003.559167	out/runs/run_20260204_131140/125/rep_80/rep_80.treefile
9	19	7083.539228	out/runs/run_20260204_131140/125/rep_19/rep_19.treefile
10	156	7616.097885	out/runs/run_20260204_131140/125/rep_156/rep_156.treefile
11	10	7677.809323	out/runs/run_20260204_131140/125/rep_10/rep_10.treefile
12	192	7690.287316	out/runs/run_20260204_131140/125/rep_192/rep_192.treefile
13	174	7728.440399	out/runs/run_20260204_131140/125/rep_174/rep_174.treefile
14	59	7818.866478	out/runs/run_20260204_131140/125/rep_59/rep_59.treefile
15	194	7861.020481	out/runs/run_20260204_131140/125/rep_194/rep_194.treefile
16	135	7870.858276	out/runs/run_20260204_131140/125/rep_135/rep_135.treefile
17	178	7872.364765	out/runs/run_20260204_131140/125/rep_178/rep_178.treefile
18	87	8007.976211	out/runs/run_20260204_131140/125/rep_87/rep_87.treefile
19	89	8091.175811	out/runs/run_20260204_131140/125/rep_89/rep_89.treefile
20	79	8104.824242	out/runs/run_20260204_131140/125/rep_79/rep_79.treefile
21	154	8202.612876	out/runs/run_20260204_131140/125/rep_154/rep_154.treefile
22	173	8364.014108	out/runs/run_20260204_131140/125/rep_173/rep_173.treefile
23	35	8424.368878	out/runs/run_20260204_131140/125/rep_35/rep_35.treefile
24	1	8520.519879	out/runs/run_20260204_131140/125/rep_1/rep_1.treefile
25	145	8528.745218	out/runs/run_20260204_131140/125/rep_145/rep_145.treefile
26	34	8632.453533	out/runs/run_20260204_131140/125/rep_34/rep_34.treefile
27	3	8733.439700	out/runs/run_20260204_131140/125/rep_3/rep_3.treefile
28	86	8808.976161	out/runs/run_20260204_131140/125/rep_86/rep_86.treefile
29	88	8814.538161	out/runs/run_20260204_131140/125/rep_88/rep_88.treefile
30	114	8887.161583	out/runs/run_20260204_131140/125/rep_114/rep_114.treefile
31	99	8902.213489	out/runs/run_20260204_131140/125/rep_99/rep_99.treefile
32	56	8929.016519	out/runs/run_20260204_131140/125/rep_56/rep_56.treefile
33	24	9159.569368	out/runs/run_20260204_131140/125/rep_24/rep_24.treefile
34	133	9263.719609	out/runs/run_20260204_131140/125/rep_133/rep_133.treefile
35	160	9309.096788	out/runs/run_20260204_131140/125/rep_160/rep_160.treefile
36	71	9336.643187	out/runs/run_20260204_131140/125/rep_71/rep_71.treefile
37	117	9491.287847	out/runs/run_20260204_131140/125/rep_117/rep_117.treefile
38	15	9548.571987	out/runs/run_20260204_131140/125/rep_15/rep_15.treefile
39	77	9748.786745	out/runs/run_20260204_131140/125/rep_77/rep_77.treefile
40	124	9760.050512	out/runs/run_20260204_131140/125/rep_124/rep_124.treefile
41	60	9813.813887	out/runs/run_20260204_131140/125/rep_60/rep_60.treefile
42	148	9872.516295	out/runs/run_20260204_131140/125/rep_148/rep_148.treefile
43	16	9882.180023	out/runs/run_20260204_131140/125/rep_16/rep_16.treefile
44	185	9975.919707	out/runs/run_20260204_131140/125/rep_185/rep_185.treefile
45	121	10063.203466	out/runs/run_20260204_131140/125/rep_121/rep_121.treefile
