display_order	ranked_newick_line	bootstrap_replicate_id	bootstrap_replicate_index_zero_based	source_replicate_alignment_file	composition_distance_to_source_alignment	sort_key	sort_direction
1	1	BS183	183	bootstrap.BS183	451.413336	composition_distance_to_source_alignment	ascending
2	2	BS167	167	bootstrap.BS167	638.376065	composition_distance_to_source_alignment	ascending
3	3	BS53	53	bootstrap.BS53	671.003726	composition_distance_to_source_alignment	ascending
4	4	BS120	120	bootstrap.BS120	691.236573	composition_distance_to_source_alignment	ascending
5	5	BS139	139	bootstrap.BS139	709.014809	composition_distance_to_source_alignment	ascending
6	6	BS23	23	bootstrap.BS23	719.769408	composition_distance_to_source_alignment	ascending
7	7	BS110	110	bootstrap.BS110	784.348137	composition_distance_to_source_alignment	ascending
8	8	BS148	148	bootstrap.BS148	801.210334	composition_distance_to_source_alignment	ascending
9	9	BS104	104	bootstrap.BS104	877.869011	composition_distance_to_source_alignment	ascending
10	10	BS15	15	bootstrap.BS15	894.377996	composition_distance_to_source_alignment	ascending
11	11	BS45	45	bootstrap.BS45	923.411068	composition_distance_to_source_alignment	ascending
12	12	BS196	196	bootstrap.BS196	934.383219	composition_distance_to_source_alignment	ascending
13	13	BS63	63	bootstrap.BS63	936.373857	composition_distance_to_source_alignment	ascending
14	14	BS28	28	bootstrap.BS28	1071.813417	composition_distance_to_source_alignment	ascending
15	15	BS189	189	bootstrap.BS189	1081.998152	composition_distance_to_source_alignment	ascending
16	16	BS21	21	bootstrap.BS21	1109.013976	composition_distance_to_source_alignment	ascending
17	17	BS112	112	bootstrap.BS112	1134.122568	composition_distance_to_source_alignment	ascending
18	18	BS72	72	bootstrap.BS72	1138.454215	composition_distance_to_source_alignment	ascending
19	19	BS122	122	bootstrap.BS122	1166.567615	composition_distance_to_source_alignment	ascending
20	20	BS17	17	bootstrap.BS17	1204.059799	composition_distance_to_source_alignment	ascending
21	21	BS170	170	bootstrap.BS170	1211.232430	composition_distance_to_source_alignment	ascending
22	22	BS9	9	bootstrap.BS9	1224.444364	composition_distance_to_source_alignment	ascending
23	23	BS38	38	bootstrap.BS38	1232.664593	composition_distance_to_source_alignment	ascending
24	24	BS106	106	bootstrap.BS106	1236.436007	composition_distance_to_source_alignment	ascending
25	25	BS175	175	bootstrap.BS175	1237.398885	composition_distance_to_source_alignment	ascending
26	26	BS98	98	bootstrap.BS98	1261.950871	composition_distance_to_source_alignment	ascending
27	27	BS187	187	bootstrap.BS187	1271.340238	composition_distance_to_source_alignment	ascending
28	28	BS32	32	bootstrap.BS32	1292.761386	composition_distance_to_source_alignment	ascending
29	29	BS26	26	bootstrap.BS26	1294.011592	composition_distance_to_source_alignment	ascending
30	30	BS33	33	bootstrap.BS33	1314.300574	composition_distance_to_source_alignment	ascending
31	31	BS50	50	bootstrap.BS50	1324.498396	composition_distance_to_source_alignment	ascending
32	32	BS133	133	bootstrap.BS133	1344.163681	composition_distance_to_source_alignment	ascending
33	33	BS138	138	bootstrap.BS138	1410.683522	composition_distance_to_source_alignment	ascending
34	34	BS130	130	bootstrap.BS130	1424.066010	composition_distance_to_source_alignment	ascending
35	35	BS66	66	bootstrap.BS66	1437.181965	composition_distance_to_source_alignment	ascending
36	36	BS7	7	bootstrap.BS7	1439.517280	composition_distance_to_source_alignment	ascending
37	37	BS97	97	bootstrap.BS97	1449.411605	composition_distance_to_source_alignment	ascending
38	38	BS103	103	bootstrap.BS103	1501.683722	composition_distance_to_source_alignment	ascending
39	39	BS13	13	bootstrap.BS13	1506.663864	composition_distance_to_source_alignment	ascending
40	40	BS123	123	bootstrap.BS123	1508.367329	composition_distance_to_source_alignment	ascending
41	41	BS51	51	bootstrap.BS51	1514.962046	composition_distance_to_source_alignment	ascending
42	42	BS3	3	bootstrap.BS3	1518.946345	composition_distance_to_source_alignment	ascending
43	43	BS22	22	bootstrap.BS22	1523.713884	composition_distance_to_source_alignment	ascending
44	44	BS80	80	bootstrap.BS80	1527.979712	composition_distance_to_source_alignment	ascending
45	45	BS195	195	bootstrap.BS195	1549.243041	composition_distance_to_source_alignment	ascending
46	46	BS96	96	bootstrap.BS96	1562.032650	composition_distance_to_source_alignment	ascending
47	47	BS182	182	bootstrap.BS182	1567.131775	composition_distance_to_source_alignment	ascending
48	48	BS184	184	bootstrap.BS184	1577.243799	composition_distance_to_source_alignment	ascending
49	49	BS16	16	bootstrap.BS16	1610.539661	composition_distance_to_source_alignment	ascending
50	50	BS126	126	bootstrap.BS126	1638.619541	composition_distance_to_source_alignment	ascending
51	51	BS115	115	bootstrap.BS115	1647.250436	composition_distance_to_source_alignment	ascending
52	52	BS56	56	bootstrap.BS56	1659.703588	composition_distance_to_source_alignment	ascending
53	53	BS151	151	bootstrap.BS151	1667.705610	composition_distance_to_source_alignment	ascending
54	54	BS24	24	bootstrap.BS24	1670.881205	composition_distance_to_source_alignment	ascending
55	55	BS132	132	bootstrap.BS132	1674.744757	composition_distance_to_source_alignment	ascending
56	56	BS61	61	bootstrap.BS61	1687.422295	composition_distance_to_source_alignment	ascending
57	57	BS92	92	bootstrap.BS92	1698.352143	composition_distance_to_source_alignment	ascending
58	58	BS127	127	bootstrap.BS127	1747.739683	composition_distance_to_source_alignment	ascending
59	59	BS76	76	bootstrap.BS76	1793.562377	composition_distance_to_source_alignment	ascending
60	60	BS135	135	bootstrap.BS135	1794.867683	composition_distance_to_source_alignment	ascending
61	61	BS2	2	bootstrap.BS2	1801.481612	composition_distance_to_source_alignment	ascending
62	62	BS8	8	bootstrap.BS8	1820.553762	composition_distance_to_source_alignment	ascending
63	63	BS25	25	bootstrap.BS25	1832.981724	composition_distance_to_source_alignment	ascending
64	64	BS30	30	bootstrap.BS30	1838.611976	composition_distance_to_source_alignment	ascending
65	65	BS145	145	bootstrap.BS145	1839.874452	composition_distance_to_source_alignment	ascending
66	66	BS18	18	bootstrap.BS18	1843.928957	composition_distance_to_source_alignment	ascending
67	67	BS14	14	bootstrap.BS14	1855.411545	composition_distance_to_source_alignment	ascending
68	68	BS177	177	bootstrap.BS177	1874.599691	composition_distance_to_source_alignment	ascending
69	69	BS165	165	bootstrap.BS165	1889.980423	composition_distance_to_source_alignment	ascending
70	70	BS40	40	bootstrap.BS40	1893.780874	composition_distance_to_source_alignment	ascending
71	71	BS52	52	bootstrap.BS52	1902.816334	composition_distance_to_source_alignment	ascending
72	72	BS73	73	bootstrap.BS73	1910.285319	composition_distance_to_source_alignment	ascending
73	73	BS194	194	bootstrap.BS194	1945.338531	composition_distance_to_source_alignment	ascending
74	74	BS12	12	bootstrap.BS12	1951.167855	composition_distance_to_source_alignment	ascending
75	75	BS116	116	bootstrap.BS116	1967.016014	composition_distance_to_source_alignment	ascending
76	76	BS180	180	bootstrap.BS180	1967.477065	composition_distance_to_source_alignment	ascending
77	77	BS95	95	bootstrap.BS95	1974.146904	composition_distance_to_source_alignment	ascending
78	78	BS146	146	bootstrap.BS146	1988.487365	composition_distance_to_source_alignment	ascending
79	79	BS176	176	bootstrap.BS176	1988.945449	composition_distance_to_source_alignment	ascending
80	80	BS121	121	bootstrap.BS121	1989.064604	composition_distance_to_source_alignment	ascending
81	81	BS6	6	bootstrap.BS6	1989.081698	composition_distance_to_source_alignment	ascending
82	82	BS68	68	bootstrap.BS68	1994.173012	composition_distance_to_source_alignment	ascending
83	83	BS197	197	bootstrap.BS197	2006.832828	composition_distance_to_source_alignment	ascending
84	84	BS173	173	bootstrap.BS173	2034.228109	composition_distance_to_source_alignment	ascending
85	85	BS186	186	bootstrap.BS186	2050.550170	composition_distance_to_source_alignment	ascending
86	86	BS29	29	bootstrap.BS29	2059.940290	composition_distance_to_source_alignment	ascending
87	87	BS190	190	bootstrap.BS190	2064.434547	composition_distance_to_source_alignment	ascending
88	88	BS49	49	bootstrap.BS49	2064.548861	composition_distance_to_source_alignment	ascending
89	89	BS100	100	bootstrap.BS100	2069.726069	composition_distance_to_source_alignment	ascending
90	90	BS99	99	bootstrap.BS99	2086.273232	composition_distance_to_source_alignment	ascending
91	91	BS141	141	bootstrap.BS141	2095.686522	composition_distance_to_source_alignment	ascending
92	92	BS41	41	bootstrap.BS41	2105.076246	composition_distance_to_source_alignment	ascending
93	93	BS160	160	bootstrap.BS160	2108.351963	composition_distance_to_source_alignment	ascending
94	94	BS113	113	bootstrap.BS113	2108.475753	composition_distance_to_source_alignment	ascending
95	95	BS111	111	bootstrap.BS111	2122.370373	composition_distance_to_source_alignment	ascending
96	96	BS79	79	bootstrap.BS79	2134.822241	composition_distance_to_source_alignment	ascending
97	97	BS118	118	bootstrap.BS118	2137.911598	composition_distance_to_source_alignment	ascending
98	98	BS181	181	bootstrap.BS181	2141.345838	composition_distance_to_source_alignment	ascending
99	99	BS125	125	bootstrap.BS125	2148.545089	composition_distance_to_source_alignment	ascending
100	100	BS37	37	bootstrap.BS37	2150.609216	composition_distance_to_source_alignment	ascending
101	101	BS198	198	bootstrap.BS198	2208.818236	composition_distance_to_source_alignment	ascending
102	102	BS114	114	bootstrap.BS114	2209.482745	composition_distance_to_source_alignment	ascending
103	103	BS94	94	bootstrap.BS94	2209.757905	composition_distance_to_source_alignment	ascending
104	104	BS62	62	bootstrap.BS62	2217.452593	composition_distance_to_source_alignment	ascending
105	105	BS117	117	bootstrap.BS117	2225.330987	composition_distance_to_source_alignment	ascending
106	106	BS156	156	bootstrap.BS156	2229.108791	composition_distance_to_source_alignment	ascending
107	107	BS27	27	bootstrap.BS27	2232.014337	composition_distance_to_source_alignment	ascending
108	108	BS42	42	bootstrap.BS42	2247.370463	composition_distance_to_source_alignment	ascending
109	109	BS11	11	bootstrap.BS11	2261.829790	composition_distance_to_source_alignment	ascending
110	110	BS171	171	bootstrap.BS171	2278.454740	composition_distance_to_source_alignment	ascending
111	111	BS147	147	bootstrap.BS147	2281.810685	composition_distance_to_source_alignment	ascending
112	112	BS108	108	bootstrap.BS108	2299.878692	composition_distance_to_source_alignment	ascending
113	113	BS34	34	bootstrap.BS34	2324.302906	composition_distance_to_source_alignment	ascending
114	114	BS152	152	bootstrap.BS152	2328.671724	composition_distance_to_source_alignment	ascending
115	115	BS178	178	bootstrap.BS178	2329.274136	composition_distance_to_source_alignment	ascending
116	116	BS35	35	bootstrap.BS35	2334.996788	composition_distance_to_source_alignment	ascending
117	117	BS20	20	bootstrap.BS20	2366.812625	composition_distance_to_source_alignment	ascending
118	118	BS185	185	bootstrap.BS185	2372.273171	composition_distance_to_source_alignment	ascending
119	119	BS1	1	bootstrap.BS1	2398.517876	composition_distance_to_source_alignment	ascending
120	120	BS64	64	bootstrap.BS64	2408.924241	composition_distance_to_source_alignment	ascending
121	121	BS88	88	bootstrap.BS88	2413.171357	composition_distance_to_source_alignment	ascending
122	122	BS163	163	bootstrap.BS163	2450.788445	composition_distance_to_source_alignment	ascending
123	123	BS102	102	bootstrap.BS102	2460.336562	composition_distance_to_source_alignment	ascending
124	124	BS81	81	bootstrap.BS81	2481.441114	composition_distance_to_source_alignment	ascending
125	125	BS85	85	bootstrap.BS85	2510.248593	composition_distance_to_source_alignment	ascending
126	126	BS77	77	bootstrap.BS77	2581.652572	composition_distance_to_source_alignment	ascending
127	127	BS128	128	bootstrap.BS128	2596.457202	composition_distance_to_source_alignment	ascending
128	128	BS199	199	bootstrap.BS199	2613.056065	composition_distance_to_source_alignment	ascending
129	129	BS193	193	bootstrap.BS193	2628.839288	composition_distance_to_source_alignment	ascending
130	130	BS55	55	bootstrap.BS55	2638.184603	composition_distance_to_source_alignment	ascending
131	131	BS65	65	bootstrap.BS65	2640.240519	composition_distance_to_source_alignment	ascending
132	132	BS44	44	bootstrap.BS44	2672.605096	composition_distance_to_source_alignment	ascending
133	133	BS86	86	bootstrap.BS86	2692.680078	composition_distance_to_source_alignment	ascending
134	134	BS19	19	bootstrap.BS19	2695.170496	composition_distance_to_source_alignment	ascending
135	135	BS149	149	bootstrap.BS149	2697.744614	composition_distance_to_source_alignment	ascending
136	136	BS67	67	bootstrap.BS67	2708.725531	composition_distance_to_source_alignment	ascending
137	137	BS10	10	bootstrap.BS10	2709.934317	composition_distance_to_source_alignment	ascending
138	138	BS5	5	bootstrap.BS5	2762.532172	composition_distance_to_source_alignment	ascending
139	139	BS179	179	bootstrap.BS179	2767.216291	composition_distance_to_source_alignment	ascending
140	140	BS0	0	bootstrap.BS0	2776.246027	composition_distance_to_source_alignment	ascending
141	141	BS161	161	bootstrap.BS161	2779.840643	composition_distance_to_source_alignment	ascending
142	142	BS93	93	bootstrap.BS93	2783.615275	composition_distance_to_source_alignment	ascending
143	143	BS48	48	bootstrap.BS48	2807.310813	composition_distance_to_source_alignment	ascending
144	144	BS136	136	bootstrap.BS136	2819.736158	composition_distance_to_source_alignment	ascending
145	145	BS107	107	bootstrap.BS107	2823.624267	composition_distance_to_source_alignment	ascending
146	146	BS90	90	bootstrap.BS90	2846.327810	composition_distance_to_source_alignment	ascending
147	147	BS60	60	bootstrap.BS60	2851.613578	composition_distance_to_source_alignment	ascending
148	148	BS39	39	bootstrap.BS39	2853.463509	composition_distance_to_source_alignment	ascending
149	149	BS159	159	bootstrap.BS159	2862.064639	composition_distance_to_source_alignment	ascending
150	150	BS78	78	bootstrap.BS78	2866.397390	composition_distance_to_source_alignment	ascending
151	151	BS43	43	bootstrap.BS43	2868.852035	composition_distance_to_source_alignment	ascending
152	152	BS144	144	bootstrap.BS144	2870.691554	composition_distance_to_source_alignment	ascending
153	153	BS137	137	bootstrap.BS137	2878.323123	composition_distance_to_source_alignment	ascending
154	154	BS166	166	bootstrap.BS166	2916.051783	composition_distance_to_source_alignment	ascending
155	155	BS192	192	bootstrap.BS192	2927.623268	composition_distance_to_source_alignment	ascending
156	156	BS150	150	bootstrap.BS150	2927.895831	composition_distance_to_source_alignment	ascending
157	157	BS36	36	bootstrap.BS36	2929.499957	composition_distance_to_source_alignment	ascending
158	158	BS131	131	bootstrap.BS131	2941.339491	composition_distance_to_source_alignment	ascending
159	159	BS83	83	bootstrap.BS83	2954.206831	composition_distance_to_source_alignment	ascending
160	160	BS124	124	bootstrap.BS124	2960.251341	composition_distance_to_source_alignment	ascending
161	161	BS46	46	bootstrap.BS46	2978.694345	composition_distance_to_source_alignment	ascending
162	162	BS4	4	bootstrap.BS4	3013.045967	composition_distance_to_source_alignment	ascending
163	163	BS142	142	bootstrap.BS142	3028.877020	composition_distance_to_source_alignment	ascending
164	164	BS57	57	bootstrap.BS57	3029.953465	composition_distance_to_source_alignment	ascending
165	165	BS84	84	bootstrap.BS84	3034.066578	composition_distance_to_source_alignment	ascending
166	166	BS191	191	bootstrap.BS191	3040.184534	composition_distance_to_source_alignment	ascending
167	167	BS154	154	bootstrap.BS154	3061.735129	composition_distance_to_source_alignment	ascending
168	168	BS74	74	bootstrap.BS74	3091.989004	composition_distance_to_source_alignment	ascending
169	169	BS71	71	bootstrap.BS71	3093.779889	composition_distance_to_source_alignment	ascending
170	170	BS58	58	bootstrap.BS58	3157.572802	composition_distance_to_source_alignment	ascending
171	171	BS174	174	bootstrap.BS174	3183.868088	composition_distance_to_source_alignment	ascending
172	172	BS153	153	bootstrap.BS153	3192.455795	composition_distance_to_source_alignment	ascending
173	173	BS155	155	bootstrap.BS155	3220.406807	composition_distance_to_source_alignment	ascending
174	174	BS101	101	bootstrap.BS101	3254.150888	composition_distance_to_source_alignment	ascending
175	175	BS105	105	bootstrap.BS105	3260.023926	composition_distance_to_source_alignment	ascending
176	176	BS75	75	bootstrap.BS75	3270.621348	composition_distance_to_source_alignment	ascending
177	177	BS168	168	bootstrap.BS168	3278.138191	composition_distance_to_source_alignment	ascending
178	178	BS47	47	bootstrap.BS47	3291.232292	composition_distance_to_source_alignment	ascending
179	179	BS162	162	bootstrap.BS162	3298.695803	composition_distance_to_source_alignment	ascending
180	180	BS91	91	bootstrap.BS91	3305.198330	composition_distance_to_source_alignment	ascending
181	181	BS158	158	bootstrap.BS158	3311.406952	composition_distance_to_source_alignment	ascending
182	182	BS143	143	bootstrap.BS143	3345.453333	composition_distance_to_source_alignment	ascending
183	183	BS87	87	bootstrap.BS87	3525.865284	composition_distance_to_source_alignment	ascending
184	184	BS140	140	bootstrap.BS140	3527.593797	composition_distance_to_source_alignment	ascending
185	185	BS119	119	bootstrap.BS119	3544.455388	composition_distance_to_source_alignment	ascending
186	186	BS70	70	bootstrap.BS70	3622.348133	composition_distance_to_source_alignment	ascending
187	187	BS31	31	bootstrap.BS31	3627.969956	composition_distance_to_source_alignment	ascending
188	188	BS89	89	bootstrap.BS89	3712.460909	composition_distance_to_source_alignment	ascending
189	189	BS82	82	bootstrap.BS82	3753.265245	composition_distance_to_source_alignment	ascending
190	190	BS172	172	bootstrap.BS172	3795.724437	composition_distance_to_source_alignment	ascending
191	191	BS59	59	bootstrap.BS59	3876.497130	composition_distance_to_source_alignment	ascending
192	192	BS109	109	bootstrap.BS109	3973.034105	composition_distance_to_source_alignment	ascending
193	193	BS188	188	bootstrap.BS188	3975.548013	composition_distance_to_source_alignment	ascending
194	194	BS129	129	bootstrap.BS129	4007.138630	composition_distance_to_source_alignment	ascending
195	195	BS157	157	bootstrap.BS157	4261.757853	composition_distance_to_source_alignment	ascending
196	196	BS54	54	bootstrap.BS54	4354.304767	composition_distance_to_source_alignment	ascending
197	197	BS134	134	bootstrap.BS134	4497.230036	composition_distance_to_source_alignment	ascending
198	198	BS169	169	bootstrap.BS169	4637.056610	composition_distance_to_source_alignment	ascending
199	199	BS69	69	bootstrap.BS69	4830.528128	composition_distance_to_source_alignment	ascending
200	200	BS164	164	bootstrap.BS164	5002.739849	composition_distance_to_source_alignment	ascending
