filename	format	taxa	sites	source_citation	source_archive_path	source_sha256	local_sha256	transformation_status	role	notes
aberer_roguenarok_dataset_24_taxa24_sites14190.phy	relaxed_phylip	24	14190	Aberer et al. 2013, Pruning Rogue Taxa Improves Phylogenetic Accuracy: An Efficient Algorithm and Webservice	data/datasets/alignments/24	53041f44bd12a63ca75c5cb98e79b03261f3414eba156656b7908f69e7b8f462	53041f44bd12a63ca75c5cb98e79b03261f3414eba156656b7908f69e7b8f462	copied_unchanged	Source alignment for the 24-taxon IQ-TREE bootstrap rogue-taxon example	Copied from local Aberer/RogueNaRok online-data archive.
aberer_roguenarok_dataset_125_taxa125_sites29149.phy	relaxed_phylip	125	29149	Aberer et al. 2013, Pruning Rogue Taxa Improves Phylogenetic Accuracy: An Efficient Algorithm and Webservice	data/datasets/alignments/125	404de7c92c5955cdd1f10fde5b539cb2a9e31051961ad8fb565805ba8d82edca	404de7c92c5955cdd1f10fde5b539cb2a9e31051961ad8fb565805ba8d82edca	copied_unchanged	Source alignment for the 125-taxon IQ-TREE bootstrap rogue-taxon example	Copied from local Aberer/RogueNaRok online-data archive.
