PQ336869	Hu_GII.17[P17]_WT-NORO-1984_2022_UK|GII.17[P17]|United Kingdom|2021
PQ373124	RIVM-NL-NoV16-13|GII.17[P17]|Netherlands|2016
PQ373128	RIVM-NL-NoV20-05|GII.17[P17]|Netherlands|2020
PQ373133	RIVM-NL-NoV22-52a|GII.17[P17]|Netherlands|2022
PQ482378	GII_Hu_AR_2024_GII.17_P17_Arg19087|GII.17[P17]|Argentina|2024
PQ482380	GII_Hu_AR_2024_GII.17_P17_Arg19116|GII.17[P17]|Argentina|2024
PQ507178	IC_168_GII4P31|GII.4[P31]|South Korea|2024
PQ507179	IC_16_GII4P31|GII.4[P31]|South Korea|2023
PQ557603	KM G2-139|GII.4[P31]|China|2021
PQ557606	KM G2-143|GII.4[P31]|China|2022
PQ559816	IC_423|GII.3[P12]|South Korea|2024
PQ582089	QH2023_23-24|GI.3[P13]|China|2023
PV174243	Hu_GII.6[P7]_Kings0006_2024_USA|GII.6[P7]|USA|2024
PV242300	100496|GI.1[P1]|USA|2006
PV242316	100197|GI.1[P1]|USA|2005
PV275055	Hu_GII.4 San Francisco[P31] _Panama1553_2023_PA|GII.4[P31]|Panama|2023
PV275065	Hu_GII.4 Wichita[P4]_Honduras0846_2023_HN|GII.4[P4]|Honduras|2023
PV275068	Hu_GII.4 Sydney[P31] _Panama0780_2023_PA|GII.4[P31]|Panama|2023
PV276961	581240|GII.17[P17]|Romania|2024
PV282507	BCM16-2-AP|GII.4[P31]|USA|2016
PV282509	TCH10-188-AP|GII.4[P4]|USA|2010
PV394761	Hu_IN_2025_GII.16[P16]_NIV-2510719|GII.16[P16]|India|2025
PV394768	Hu_IN_2025_GII.16[P16]_NIV-2511422|GII.16[P16]|India|2025
PV418614	NoV_Dog_AUS_centralwest_4_2022_GVI|GVI.2[GVI.P2]|Australia|2022
OM368933	FS159|GII.4[P31]|China|2018
OM373200	FS203|GII.4[P31]|China|2018
OM373643	FS303|GII.4[P31]|China|2018
OM991740	Tacheng region of Xinjiang|GIII.2[GIII.P2]|China|2020
OP205536	RIVM-NOV-2015-0346_R02-12|GII.17[P17]|Netherlands|2015
OP205557	RIVM-NOV-2018-0405_R03-12|GII.3[P16]|Netherlands|2018
OP205577	RIVM-NOV-2018-0419_R04-08|GII.3[P21]|Netherlands|2018
OP609646	Hu_US_2011_GII.10[P16]_Bangladesh5145|GII.10[P16]|Bangladesh|2011
OP686903	Hu_US_2020_GII.10[P16]_CA-RGDS-1152|GII.10[P16]|USA|2020
MW261789	DS413|GIX.1[P15]|Saudi Arabia|1990
MW305492	C9|GI.3[P13]|French Guiana|1978
MW305507	DS395|GI.3[P10]|Saudi Arabia|1990
MW305508	DS386|Saudi Arabia|1990
MW305510	9-9|GI.3[P3]|USA|1988
MW305511	PNV001501|GII.6[P7]|Peru|2007
MW305514	PNV008798|GII.9[P7]|Peru|2008
MW305523	PNV002309|GII.6[P7]|Peru|2008
MW305545	PNV007123|GII.4[P4]|Peru|2008
MW305547	PNV011149|GII.6[P7]|Peru|2008
MW305555	194HBO|GII.6[P7]|Paraguay|2016
MW305567	912SR|GII.4[P4]|Paraguay|2005
MW305573	HK4|GII.7[P36]|Hong Kong|1976
MW305574	HK46|GII.3[P41]|Hong Kong|1977
MW305581	S9d|GII.6[P7]|Senegal|1976
MW305582	T055|GII.17[P3]|Tunisia|1977
MW305583	T091|GII.4[PNA3]|Tunisia|1976
MW305589	75|GII.4[P4]|Japan|1995
MW305590	170|GII.4[P4]|Japan|1995
MW305594	110-1|GII.4[P4]|USA|1987
MW305598	212|GII.6[P6]|Japan|1996
MW305599	Arg1261|GII.6[P7]|Argentina|1998
MW305600	Arg4220|GII.2[P21]|Argentina|2004
MW305616	Arg10896|GII.6[P7]|Argentina|2013
MW305653	291|GII.4[P4]|Japan|1995
MW305655	937|GII.4[P4]|Japan|1996
MW305656	946|GII.4[P4]|Japan|1997
MW305657	953|GII.2[P34]|Japan|1997
MW305661	1115|GII.4[P4]|Japan|1997
MW305662	1123|GII.4[P4]|Japan|1997
MW305671	10995|GII.14[P7]|Japan|2012
MW305698	CMH-047-07|GII.14[P7]|Thailand|2007
MW305714	CMH-S155-12|GII.13[P16]|Thailand|2012
MW305724	CHDC2005|GII.3[P3]|USA|1975
MW305726	CHDC5365|GII.3[P3]|USA|1991
MW305727	CHDC4090|GII.3[P3]|USA|1988
MW305731	DS332|GII.3[P3]|Saudi Arabia|1990
MW305738	JW2015|GII.4[P31]|USA|2015
MW661277	BMH19-125|GII.2[P16]|Canada|2019
MW661281	BMH19-130|GII.4[P31]|Canada|2019
MZ229330	Hu_US_2012_GI.4[P4]_CA-RGDS-1107|GI.4[P4]|USA|2012
MZ265063	Hu_US_2011_GII.1[P33]_CA-RGDS-1112|GII.1[P33]|USA|2011
MZ272053	Hu_US_2011_GII.14[P7]_CA-RGDS-1122|GII.14[P7]|USA|2011
MZ478139	G9_4.5|GII.4[P16]|Mexico|2016
MZ478140	G11_6|GII.4[P16]|Mexico|2016
NC_044854	Hu_JP_2000_GI.6[PNA1]_WUG1|Japan|2000
OK032546	yak|GIII.2[GIII.P2]|China|2020
OL685296	Hu_US_2021_GIX.1[GII.P15]_CA-RGDS-1139|GIX.1[P15]|USA|2021
OL685300	Hu_US_2021_GIX.1[GII.P15]_CA-RGDS-1143|GIX.1[P15]|USA|2021
OL685303	Hu_US_2021_GIX.1[GII.P15]_CA-RGDS-1146|GIX.1[P15]|USA|2021
OL721917	P6|GII.4[P31]|China|2017
OL826943	2020277|GII.2[P16]|China|2020
OL898507	Hu_US_2017_GII.2[P16]_Kansas0832|GII.2[P16]|USA|2017
MK590974	V17T03764_Noro_GII_P16_GII_2|GII.2[P16]|USA|2017
MK614137	SZ2018139|GII.2[P16]|China|2018
MK733201	Arg1382|GII.12[P26]|Argentina|1998
MK753008	Hu_US_2013_GII.P16-GII.13_Multnomah0890|GII.13[P16]|USA|2013
MK753009	Hu_US_2013_GII.P16-GII.13_Polk0892|GII.13[P16]|USA|2013
MK753015	Hu_US_2016_GII.P2-GII.2_Lane0946|GII.2[P2]|USA|2016
MK753028	Hu_US_2014_GII.P4NewOrleans-GII.4 Sydney_Pima0257|GII.4[P4]|USA|2014
MK753032	Hu_US_2016_GII.P16-GII.4 Sydney_SanJoaquin0116|GII.4[P16]|USA|2016
MK754444	Hu_US_2017_GII.P16-GII.4 Sydney_Baltimore0201|GII.4[P16]|USA|2017
MK756038	Hu_US_2016_GII.P16-GII.4 Sydney_Alameda0791|GII.4[P16]|USA|2016
MK762637	Hu_US_2015_GII.P16-GII.4 Sydney_LaPorte0381|GII.4[P16]|USA|2015
MK773571	Hu_US_2018_GII.P16-GII.2_CS0003|GII.2[P16]|USA|2018
MK789431	3351|GII.17[P17]|Spain|2015
MN226991	Hu_US_2018_GI.Pb-GI.6_CA-RGDS-1059|USA|2018
MN308009	087_GII.Pe_GII.4_Silvanopolis|GII.4[P31]|Brazil|2014
MN308017	159_GII.Pe_GII.4_Araguaina|GII.4[P31]|Brazil|2013
MN447470	Hu_US_2008_GII.16[P16]_US0366|GII.16[P16]|USA|2008
MN703761	GII.4_MI_2016_feces|GII.4[P31]|USA|2016
MN912824	Dog_GIV.2_C19_19_CH|GIV.2[GVI.P1]|China|2019
MT158850	3-GII.P7-GII.6|GII.6[P7]|China|2019
MT158860	czzl05|GII.17[P17]|China|2019
MT227832	086_GII.P7_GII.6_Araguaina|GII.6[P7]|Brazil|2013
MT238670	259-1|GII.4[P16]|USA|2018
MT372464	Hu_US_2017_GI.2[P2]_Callao0615|USA|2017
MT474043	Hu_GII.Pe_GII.4_JH23_2015_PA_BRA|GII.4[P31]|Brazil|2015
MT526277	329-2|GI.3[P13]|USA|2014
MT726225	Hu_US_2018_GII.4 Sydney[P31]_CA-RGDS-1092|GII.4[P31]|USA|2018
MT729791	Hu_US_2018_GII.17[P17]_CA-RGDS-1094|GII.17[P17]|USA|2018
MF405169	Hu_US_1971_GII.Pf_GII.2_HenrytonSP17|GII.2[P32]|USA|1971
MF421541	Hu_GII.17_WH2017-162_CHN_2017|GII.17[P17]|China|2017
MG551869	Hu_GT_2012_GII.P23-GII.23_Guatemala City3872|GII.23[P23]|Guatemala|2012
MG572732	GII_Hu_DE_2017_GII.P26_GII.26_Leipzig07788g|GII.26[P26]|Germany|2017
MG745992	GZ1621|GII.2[P16]|China|2017
MH218573	NORO_103-1_07_07_2014|GII.3[P21]|United Kingdom|2014
MH218577	NORO_107_11_07_2014|GII.3[P21]|United Kingdom|2014
MH218584	NORO_114_14_09_2014|GII.3[P21]|United Kingdom|2014
