split_key	taxa_names	replicate_count	replicate_total	support_percent
Crypturellus|Dinornis|ECtinamou|EasternMoa|Gtinamou|lbmoa	Crypturellus,Dinornis,ECtinamou,EasternMoa,Gtinamou,lbmoa	177	200	88.500000
Crypturellus|ECtinamou|GreatRhea|Gtinamou|LesserRhea	Crypturellus,ECtinamou,GreatRhea,Gtinamou,LesserRhea	1	200	0.500000
Crypturellus|ECtinamou|Gtinamou	Crypturellus,ECtinamou,Gtinamou	197	200	98.500000
Crypturellus|Gtinamou	Crypturellus,Gtinamou	199	200	99.500000
Dinornis|EasternMoa|lbmoa	Dinornis,EasternMoa,lbmoa	200	200	100.000000
EasternMoa|lbmoa	EasternMoa,lbmoa	200	200	100.000000
GaviaStellata|LBPenguin	GaviaStellata,LBPenguin	195	200	97.500000
GaviaStellata|LBPenguin|oystercatcher	GaviaStellata,LBPenguin,oystercatcher	3	200	1.500000
GaviaStellata|LBPenguin|oystercatcher|turnstone	GaviaStellata,LBPenguin,oystercatcher,turnstone	198	200	99.000000
GreatRhea|LesserRhea	GreatRhea,LesserRhea	200	200	100.000000
GreatRhea|LesserRhea|Ostrich	GreatRhea,LesserRhea,Ostrich	16	200	8.000000
LBPenguin|oystercatcher|turnstone	LBPenguin,oystercatcher,turnstone	3	200	1.500000
LSKiwi|gskiwi	LSKiwi,gskiwi	200	200	100.000000
duck|magpiegoose	duck,magpiegoose	200	200	100.000000
oystercatcher|turnstone	oystercatcher,turnstone	197	200	98.500000
