split_key	taxa_names	replicate_count	replicate_total	support_percent
Seq102|Seq103|Seq104|Seq107|Seq108|Seq109|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120|Seq121|Seq122|Seq123	Seq102,Seq103,Seq104,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123	13	200	6.500000
Seq102|Seq103|Seq104|Seq107|Seq108|Seq109|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120|Seq121|Seq122|Seq123|Seq124|Seq125	Seq102,Seq103,Seq104,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123,Seq124,Seq125	5	200	2.500000
Seq104|Seq107|Seq108|Seq109|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120|Seq121|Seq122|Seq123	Seq104,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123	200	200	100.000000
Seq107|Seq108|Seq109|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120|Seq121|Seq122|Seq123	Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123	200	200	100.000000
Seq107|Seq108|Seq109|Seq110|Seq121|Seq122|Seq123	Seq107,Seq108,Seq109,Seq110,Seq121,Seq122,Seq123	200	200	100.000000
Seq107|Seq108|Seq109|Seq121|Seq122	Seq107,Seq108,Seq109,Seq121,Seq122	200	200	100.000000
Seq107|Seq108|Seq109|Seq121|Seq122|Seq123	Seq107,Seq108,Seq109,Seq121,Seq122,Seq123	200	200	100.000000
Seq107|Seq109	Seq107,Seq109	200	200	100.000000
Seq107|Seq109|Seq121|Seq122	Seq107,Seq109,Seq121,Seq122	200	200	100.000000
Seq10|Seq11|Seq12|Seq13|Seq14|Seq15|Seq16|Seq17|Seq18|Seq19|Seq5|Seq6|Seq7|Seq8|Seq9	Seq10,Seq11,Seq12,Seq13,Seq14,Seq15,Seq16,Seq17,Seq18,Seq19,Seq5,Seq6,Seq7,Seq8,Seq9	200	200	100.000000
Seq10|Seq11|Seq12|Seq13|Seq14|Seq17|Seq18|Seq19|Seq5|Seq6|Seq7|Seq8|Seq9	Seq10,Seq11,Seq12,Seq13,Seq14,Seq17,Seq18,Seq19,Seq5,Seq6,Seq7,Seq8,Seq9	2	200	1.000000
Seq10|Seq11|Seq12|Seq13|Seq14|Seq5|Seq6|Seq7|Seq8|Seq9	Seq10,Seq11,Seq12,Seq13,Seq14,Seq5,Seq6,Seq7,Seq8,Seq9	200	200	100.000000
Seq10|Seq11|Seq12|Seq5|Seq6|Seq7|Seq8|Seq9	Seq10,Seq11,Seq12,Seq5,Seq6,Seq7,Seq8,Seq9	1	200	0.500000
Seq10|Seq11|Seq13|Seq14|Seq5|Seq6|Seq7|Seq8|Seq9	Seq10,Seq11,Seq13,Seq14,Seq5,Seq6,Seq7,Seq8,Seq9	70	200	35.000000
Seq10|Seq11|Seq5|Seq6|Seq7|Seq8|Seq9	Seq10,Seq11,Seq5,Seq6,Seq7,Seq8,Seq9	200	200	100.000000
Seq10|Seq11|Seq6|Seq7|Seq8|Seq9	Seq10,Seq11,Seq6,Seq7,Seq8,Seq9	96	200	48.000000
Seq10|Seq5|Seq6|Seq9	Seq10,Seq5,Seq6,Seq9	104	200	52.000000
Seq10|Seq6	Seq10,Seq6	200	200	100.000000
Seq10|Seq6|Seq9	Seq10,Seq6,Seq9	200	200	100.000000
Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120	Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120	200	200	100.000000
Seq111|Seq112|Seq113|Seq114|Seq115|Seq118|Seq119	Seq111,Seq112,Seq113,Seq114,Seq115,Seq118,Seq119	200	200	100.000000
Seq111|Seq119	Seq111,Seq119	200	200	100.000000
Seq112|Seq113	Seq112,Seq113	2	200	1.000000
Seq112|Seq113|Seq114|Seq115	Seq112,Seq113,Seq114,Seq115	2	200	1.000000
Seq112|Seq113|Seq114|Seq115|Seq118	Seq112,Seq113,Seq114,Seq115,Seq118	200	200	100.000000
Seq112|Seq113|Seq118	Seq112,Seq113,Seq118	105	200	52.500000
Seq112|Seq114|Seq115	Seq112,Seq114,Seq115	81	200	40.500000
Seq112|Seq118	Seq112,Seq118	1	200	0.500000
Seq113|Seq114|Seq115|Seq118	Seq113,Seq114,Seq115,Seq118	12	200	6.000000
Seq113|Seq118	Seq113,Seq118	197	200	98.500000
Seq114|Seq115	Seq114,Seq115	200	200	100.000000
Seq116|Seq117|Seq120	Seq116,Seq117,Seq120	200	200	100.000000
Seq117|Seq120	Seq117,Seq120	200	200	100.000000
Seq11|Seq7	Seq11,Seq7	200	200	100.000000
Seq11|Seq7|Seq8	Seq11,Seq7,Seq8	200	200	100.000000
Seq121|Seq122	Seq121,Seq122	200	200	100.000000
Seq124|Seq125	Seq124,Seq125	200	200	100.000000
Seq12|Seq13|Seq14	Seq12,Seq13,Seq14	129	200	64.500000
Seq13|Seq14	Seq13,Seq14	200	200	100.000000
Seq15|Seq16	Seq15,Seq16	200	200	100.000000
Seq15|Seq16|Seq17|Seq18|Seq19	Seq15,Seq16,Seq17,Seq18,Seq19	198	200	99.000000
Seq17|Seq18|Seq19	Seq17,Seq18,Seq19	200	200	100.000000
Seq18|Seq19	Seq18,Seq19	200	200	100.000000
Seq1|Seq10|Seq100|Seq101|Seq102|Seq103|Seq104|Seq105|Seq106|Seq107|Seq108|Seq109|Seq11|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq12|Seq120|Seq121|Seq122|Seq123|Seq124|Seq125|Seq13|Seq14|Seq15|Seq16|Seq17|Seq18|Seq19|Seq2|Seq3|Seq4|Seq5|Seq6|Seq7|Seq8|Seq85|Seq86|Seq87|Seq88|Seq89|Seq9|Seq90|Seq91|Seq92|Seq93|Seq94|Seq95|Seq96|Seq97|Seq98|Seq99	Seq1,Seq10,Seq100,Seq101,Seq102,Seq103,Seq104,Seq105,Seq106,Seq107,Seq108,Seq109,Seq11,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq12,Seq120,Seq121,Seq122,Seq123,Seq124,Seq125,Seq13,Seq14,Seq15,Seq16,Seq17,Seq18,Seq19,Seq2,Seq3,Seq4,Seq5,Seq6,Seq7,Seq8,Seq85,Seq86,Seq87,Seq88,Seq89,Seq9,Seq90,Seq91,Seq92,Seq93,Seq94,Seq95,Seq96,Seq97,Seq98,Seq99	200	200	100.000000
Seq1|Seq10|Seq11|Seq12|Seq13|Seq14|Seq15|Seq16|Seq17|Seq18|Seq19|Seq2|Seq3|Seq4|Seq5|Seq6|Seq7|Seq8|Seq9	Seq1,Seq10,Seq11,Seq12,Seq13,Seq14,Seq15,Seq16,Seq17,Seq18,Seq19,Seq2,Seq3,Seq4,Seq5,Seq6,Seq7,Seq8,Seq9	200	200	100.000000
Seq1|Seq2	Seq1,Seq2	200	200	100.000000
Seq1|Seq2|Seq3|Seq4	Seq1,Seq2,Seq3,Seq4	200	200	100.000000
Seq1|Seq2|Seq4	Seq1,Seq2,Seq4	200	200	100.000000
Seq20|Seq21|Seq22|Seq23	Seq20,Seq21,Seq22,Seq23	200	200	100.000000
Seq20|Seq21|Seq22|Seq23|Seq24|Seq25|Seq26|Seq27|Seq28|Seq29|Seq30|Seq31|Seq32|Seq33|Seq34|Seq35|Seq36|Seq37|Seq38|Seq39|Seq40|Seq41|Seq42|Seq43|Seq44|Seq45|Seq46|Seq47|Seq48|Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59|Seq60|Seq61|Seq62|Seq63|Seq64|Seq65|Seq66|Seq67|Seq68|Seq69|Seq70|Seq71|Seq72|Seq73	Seq20,Seq21,Seq22,Seq23,Seq24,Seq25,Seq26,Seq27,Seq28,Seq29,Seq30,Seq31,Seq32,Seq33,Seq34,Seq35,Seq36,Seq37,Seq38,Seq39,Seq40,Seq41,Seq42,Seq43,Seq44,Seq45,Seq46,Seq47,Seq48,Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65,Seq66,Seq67,Seq68,Seq69,Seq70,Seq71,Seq72,Seq73	198	200	99.000000
Seq20|Seq21|Seq22|Seq23|Seq24|Seq25|Seq26|Seq27|Seq28|Seq29|Seq30|Seq31|Seq32|Seq33|Seq34|Seq35|Seq36|Seq37|Seq38|Seq39|Seq40|Seq41|Seq42|Seq43|Seq44|Seq45|Seq46|Seq47|Seq48|Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59|Seq60|Seq61|Seq62|Seq63|Seq64|Seq65|Seq73	Seq20,Seq21,Seq22,Seq23,Seq24,Seq25,Seq26,Seq27,Seq28,Seq29,Seq30,Seq31,Seq32,Seq33,Seq34,Seq35,Seq36,Seq37,Seq38,Seq39,Seq40,Seq41,Seq42,Seq43,Seq44,Seq45,Seq46,Seq47,Seq48,Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65,Seq73	179	200	89.500000
Seq20|Seq21|Seq22|Seq23|Seq24|Seq25|Seq26|Seq27|Seq28|Seq29|Seq30|Seq31|Seq32|Seq33|Seq34|Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59|Seq60|Seq61|Seq62|Seq63|Seq64|Seq65	Seq20,Seq21,Seq22,Seq23,Seq24,Seq25,Seq26,Seq27,Seq28,Seq29,Seq30,Seq31,Seq32,Seq33,Seq34,Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65	3	200	1.500000
Seq20|Seq21|Seq22|Seq23|Seq35|Seq36|Seq37|Seq38|Seq39|Seq40|Seq41|Seq42|Seq43|Seq44|Seq45|Seq46|Seq47|Seq48|Seq66|Seq67|Seq68|Seq69|Seq70|Seq71|Seq72|Seq73	Seq20,Seq21,Seq22,Seq23,Seq35,Seq36,Seq37,Seq38,Seq39,Seq40,Seq41,Seq42,Seq43,Seq44,Seq45,Seq46,Seq47,Seq48,Seq66,Seq67,Seq68,Seq69,Seq70,Seq71,Seq72,Seq73	21	200	10.500000
Seq20|Seq21|Seq22|Seq23|Seq35|Seq36|Seq37|Seq38|Seq39|Seq40|Seq41|Seq42|Seq43|Seq44|Seq45|Seq46|Seq47|Seq48|Seq73	Seq20,Seq21,Seq22,Seq23,Seq35,Seq36,Seq37,Seq38,Seq39,Seq40,Seq41,Seq42,Seq43,Seq44,Seq45,Seq46,Seq47,Seq48,Seq73	195	200	97.500000
Seq20|Seq21|Seq22|Seq23|Seq66|Seq67|Seq68|Seq69|Seq70|Seq71|Seq72	Seq20,Seq21,Seq22,Seq23,Seq66,Seq67,Seq68,Seq69,Seq70,Seq71,Seq72	2	200	1.000000
Seq20|Seq22	Seq20,Seq22	200	200	100.000000
Seq21|Seq23	Seq21,Seq23	200	200	100.000000
Seq24|Seq25|Seq26|Seq27|Seq28|Seq29|Seq30|Seq31|Seq32|Seq33|Seq34|Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59|Seq60|Seq61|Seq62|Seq63|Seq64|Seq65	Seq24,Seq25,Seq26,Seq27,Seq28,Seq29,Seq30,Seq31,Seq32,Seq33,Seq34,Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65	200	200	100.000000
Seq24|Seq33	Seq24,Seq33	200	200	100.000000
Seq25|Seq26|Seq27|Seq28|Seq29|Seq30|Seq31|Seq32	Seq25,Seq26,Seq27,Seq28,Seq29,Seq30,Seq31,Seq32	200	200	100.000000
Seq25|Seq26|Seq27|Seq28|Seq29|Seq30|Seq31|Seq32|Seq34|Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59|Seq60|Seq61|Seq62|Seq63|Seq64|Seq65	Seq25,Seq26,Seq27,Seq28,Seq29,Seq30,Seq31,Seq32,Seq34,Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65	200	200	100.000000
Seq25|Seq26|Seq27|Seq28|Seq29|Seq30|Seq32	Seq25,Seq26,Seq27,Seq28,Seq29,Seq30,Seq32	4	200	2.000000
Seq25|Seq29|Seq30	Seq25,Seq29,Seq30	200	200	100.000000
Seq25|Seq29|Seq30|Seq31	Seq25,Seq29,Seq30,Seq31	196	200	98.000000
Seq25|Seq30	Seq25,Seq30	200	200	100.000000
Seq26|Seq27|Seq28	Seq26,Seq27,Seq28	6	200	3.000000
Seq26|Seq27|Seq28|Seq32	Seq26,Seq27,Seq28,Seq32	200	200	100.000000
Seq26|Seq32	Seq26,Seq32	4	200	2.000000
Seq27|Seq28	Seq27,Seq28	200	200	100.000000
Seq27|Seq28|Seq32	Seq27,Seq28,Seq32	190	200	95.000000
Seq34|Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59|Seq60|Seq61|Seq62|Seq63|Seq64|Seq65	Seq34,Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65	200	200	100.000000
Seq35|Seq36|Seq37	Seq35,Seq36,Seq37	200	200	100.000000
Seq35|Seq36|Seq37|Seq38|Seq39|Seq40|Seq41|Seq42|Seq43|Seq44|Seq45|Seq46|Seq47|Seq48	Seq35,Seq36,Seq37,Seq38,Seq39,Seq40,Seq41,Seq42,Seq43,Seq44,Seq45,Seq46,Seq47,Seq48	200	200	100.000000
Seq35|Seq36|Seq37|Seq38|Seq39|Seq40|Seq41|Seq42|Seq43|Seq44|Seq45|Seq46|Seq47|Seq48|Seq73	Seq35,Seq36,Seq37,Seq38,Seq39,Seq40,Seq41,Seq42,Seq43,Seq44,Seq45,Seq46,Seq47,Seq48,Seq73	200	200	100.000000
Seq35|Seq36|Seq37|Seq38|Seq39|Seq40|Seq41|Seq42|Seq44|Seq46|Seq47	Seq35,Seq36,Seq37,Seq38,Seq39,Seq40,Seq41,Seq42,Seq44,Seq46,Seq47	200	200	100.000000
Seq36|Seq37	Seq36,Seq37	200	200	100.000000
Seq38|Seq39|Seq40|Seq41|Seq42|Seq44|Seq46|Seq47	Seq38,Seq39,Seq40,Seq41,Seq42,Seq44,Seq46,Seq47	200	200	100.000000
Seq38|Seq39|Seq40|Seq41|Seq44	Seq38,Seq39,Seq40,Seq41,Seq44	200	200	100.000000
Seq38|Seq39|Seq44	Seq38,Seq39,Seq44	200	200	100.000000
Seq38|Seq44	Seq38,Seq44	200	200	100.000000
Seq40|Seq41	Seq40,Seq41	200	200	100.000000
Seq42|Seq46	Seq42,Seq46	200	200	100.000000
Seq42|Seq46|Seq47	Seq42,Seq46,Seq47	200	200	100.000000
Seq43|Seq45|Seq48	Seq43,Seq45,Seq48	200	200	100.000000
Seq45|Seq48	Seq45,Seq48	200	200	100.000000
Seq49|Seq50	Seq49,Seq50	200	200	100.000000
Seq49|Seq50|Seq51	Seq49,Seq50,Seq51	200	200	100.000000
Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59|Seq60|Seq61|Seq62|Seq63|Seq64|Seq65	Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65	200	200	100.000000
Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59|Seq60|Seq61|Seq63|Seq64	Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq63,Seq64	45	200	22.500000
Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq58|Seq59|Seq60|Seq61|Seq62|Seq63|Seq64|Seq65	Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65	1	200	0.500000
Seq49|Seq50|Seq51|Seq52|Seq53|Seq54|Seq55|Seq56|Seq60|Seq61|Seq63|Seq64	Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq60,Seq61,Seq63,Seq64	1	200	0.500000
Seq49|Seq50|Seq51|Seq54|Seq55	Seq49,Seq50,Seq51,Seq54,Seq55	4	200	2.000000
Seq49|Seq50|Seq51|Seq54|Seq55|Seq56	Seq49,Seq50,Seq51,Seq54,Seq55,Seq56	200	200	100.000000
Seq49|Seq50|Seq51|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59	Seq49,Seq50,Seq51,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59	8	200	4.000000
Seq49|Seq50|Seq51|Seq54|Seq55|Seq56|Seq57|Seq58|Seq59|Seq62|Seq65	Seq49,Seq50,Seq51,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq62,Seq65	117	200	58.500000
Seq49|Seq50|Seq51|Seq54|Seq55|Seq56|Seq62|Seq65	Seq49,Seq50,Seq51,Seq54,Seq55,Seq56,Seq62,Seq65	100	200	50.000000
Seq49|Seq50|Seq51|Seq55	Seq49,Seq50,Seq51,Seq55	200	200	100.000000
Seq49|Seq50|Seq51|Seq55|Seq56	Seq49,Seq50,Seq51,Seq55,Seq56	195	200	97.500000
Seq52|Seq53|Seq57|Seq58|Seq59|Seq60|Seq61|Seq62|Seq63|Seq64|Seq65	Seq52,Seq53,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65	36	200	18.000000
Seq52|Seq53|Seq57|Seq58|Seq59|Seq60|Seq61|Seq63|Seq64	Seq52,Seq53,Seq57,Seq58,Seq59,Seq60,Seq61,Seq63,Seq64	81	200	40.500000
Seq52|Seq53|Seq57|Seq60|Seq61|Seq63|Seq64	Seq52,Seq53,Seq57,Seq60,Seq61,Seq63,Seq64	2	200	1.000000
Seq52|Seq53|Seq60|Seq61|Seq63|Seq64	Seq52,Seq53,Seq60,Seq61,Seq63,Seq64	200	200	100.000000
Seq52|Seq53|Seq61|Seq63	Seq52,Seq53,Seq61,Seq63	51	200	25.500000
Seq52|Seq60|Seq61|Seq63|Seq64	Seq52,Seq60,Seq61,Seq63,Seq64	54	200	27.000000
Seq52|Seq61	Seq52,Seq61	48	200	24.000000
Seq52|Seq61|Seq63	Seq52,Seq61,Seq63	200	200	100.000000
Seq52|Seq63	Seq52,Seq63	12	200	6.000000
Seq53|Seq60|Seq64	Seq53,Seq60,Seq64	95	200	47.500000
Seq54|Seq56	Seq54,Seq56	1	200	0.500000
Seq57|Seq58|Seq59	Seq57,Seq58,Seq59	196	200	98.000000
Seq57|Seq58|Seq59|Seq62|Seq65	Seq57,Seq58,Seq59,Seq62,Seq65	10	200	5.000000
Seq58|Seq59	Seq58,Seq59	200	200	100.000000
Seq58|Seq59|Seq62|Seq65	Seq58,Seq59,Seq62,Seq65	3	200	1.500000
Seq60|Seq64	Seq60,Seq64	200	200	100.000000
Seq61|Seq63	Seq61,Seq63	140	200	70.000000
Seq62|Seq65	Seq62,Seq65	200	200	100.000000
Seq66|Seq67	Seq66,Seq67	200	200	100.000000
Seq66|Seq67|Seq68|Seq69|Seq70|Seq71|Seq72	Seq66,Seq67,Seq68,Seq69,Seq70,Seq71,Seq72	200	200	100.000000
Seq66|Seq67|Seq68|Seq69|Seq70|Seq71|Seq72|Seq74|Seq75|Seq76|Seq77|Seq78|Seq79|Seq80|Seq81|Seq82|Seq83|Seq84	Seq66,Seq67,Seq68,Seq69,Seq70,Seq71,Seq72,Seq74,Seq75,Seq76,Seq77,Seq78,Seq79,Seq80,Seq81,Seq82,Seq83,Seq84	2	200	1.000000
Seq68|Seq69	Seq68,Seq69	1	200	0.500000
Seq68|Seq69|Seq70|Seq71|Seq72	Seq68,Seq69,Seq70,Seq71,Seq72	200	200	100.000000
Seq68|Seq69|Seq72	Seq68,Seq69,Seq72	174	200	87.000000
Seq68|Seq70|Seq71|Seq72	Seq68,Seq70,Seq71,Seq72	9	200	4.500000
Seq68|Seq72	Seq68,Seq72	199	200	99.500000
Seq69|Seq70|Seq71	Seq69,Seq70,Seq71	17	200	8.500000
Seq70|Seq71	Seq70,Seq71	200	200	100.000000
Seq74|Seq75|Seq76|Seq77|Seq78|Seq79|Seq80|Seq81|Seq82|Seq83|Seq84	Seq74,Seq75,Seq76,Seq77,Seq78,Seq79,Seq80,Seq81,Seq82,Seq83,Seq84	200	200	100.000000
Seq74|Seq77|Seq81|Seq82	Seq74,Seq77,Seq81,Seq82	200	200	100.000000
Seq74|Seq77|Seq82	Seq74,Seq77,Seq82	48	200	24.000000
Seq74|Seq81	Seq74,Seq81	4	200	2.000000
Seq75|Seq76|Seq78|Seq79|Seq80|Seq83|Seq84	Seq75,Seq76,Seq78,Seq79,Seq80,Seq83,Seq84	200	200	100.000000
Seq75|Seq76|Seq78|Seq84	Seq75,Seq76,Seq78,Seq84	200	200	100.000000
Seq75|Seq78|Seq84	Seq75,Seq78,Seq84	178	200	89.000000
Seq76|Seq78|Seq84	Seq76,Seq78,Seq84	22	200	11.000000
Seq77|Seq81|Seq82	Seq77,Seq81,Seq82	148	200	74.000000
Seq77|Seq82	Seq77,Seq82	200	200	100.000000
Seq78|Seq84	Seq78,Seq84	200	200	100.000000
Seq79|Seq80	Seq79,Seq80	200	200	100.000000
Seq79|Seq80|Seq83	Seq79,Seq80,Seq83	200	200	100.000000
Seq85|Seq86|Seq87|Seq88	Seq85,Seq86,Seq87,Seq88	200	200	100.000000
Seq85|Seq86|Seq87|Seq88|Seq89|Seq90|Seq91|Seq92|Seq93|Seq94|Seq95|Seq96|Seq97|Seq98|Seq99	Seq85,Seq86,Seq87,Seq88,Seq89,Seq90,Seq91,Seq92,Seq93,Seq94,Seq95,Seq96,Seq97,Seq98,Seq99	200	200	100.000000
Seq85|Seq87	Seq85,Seq87	200	200	100.000000
Seq86|Seq88	Seq86,Seq88	200	200	100.000000
Seq89|Seq90|Seq91|Seq92	Seq89,Seq90,Seq91,Seq92	200	200	100.000000
Seq89|Seq90|Seq91|Seq92|Seq93|Seq94|Seq95|Seq96|Seq97|Seq98|Seq99	Seq89,Seq90,Seq91,Seq92,Seq93,Seq94,Seq95,Seq96,Seq97,Seq98,Seq99	200	200	100.000000
Seq89|Seq90|Seq91|Seq92|Seq93|Seq94|Seq98	Seq89,Seq90,Seq91,Seq92,Seq93,Seq94,Seq98	200	200	100.000000
Seq89|Seq91	Seq89,Seq91	200	200	100.000000
Seq90|Seq92	Seq90,Seq92	200	200	100.000000
Seq93|Seq94|Seq98	Seq93,Seq94,Seq98	200	200	100.000000
Seq93|Seq98	Seq93,Seq98	200	200	100.000000
Seq95|Seq96	Seq95,Seq96	200	200	100.000000
Seq95|Seq96|Seq97|Seq99	Seq95,Seq96,Seq97,Seq99	200	200	100.000000
Seq97|Seq99	Seq97,Seq99	200	200	100.000000
