split_key	taxa_names	replicate_count	replicate_total	support_percent
Seq100|Seq101|Seq102|Seq103|Seq104|Seq105|Seq106|Seq107|Seq108|Seq109|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120|Seq121|Seq122|Seq123	Seq100,Seq101,Seq102,Seq103,Seq104,Seq105,Seq106,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123	8	200	4.000000
Seq100|Seq101|Seq102|Seq103|Seq104|Seq105|Seq106|Seq107|Seq108|Seq109|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120|Seq121|Seq122|Seq123|Seq124|Seq125	Seq100,Seq101,Seq102,Seq103,Seq104,Seq105,Seq106,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123,Seq124,Seq125	200	200	100.000000
Seq100|Seq101|Seq102|Seq103|Seq104|Seq105|Seq106|Seq107|Seq108|Seq109|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120|Seq121|Seq122|Seq123|Seq124|Seq125|Seq85|Seq86|Seq87|Seq88|Seq89|Seq90|Seq91|Seq92|Seq93|Seq94|Seq95|Seq96|Seq97|Seq98|Seq99	Seq100,Seq101,Seq102,Seq103,Seq104,Seq105,Seq106,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123,Seq124,Seq125,Seq85,Seq86,Seq87,Seq88,Seq89,Seq90,Seq91,Seq92,Seq93,Seq94,Seq95,Seq96,Seq97,Seq98,Seq99	200	200	100.000000
Seq100|Seq101|Seq105|Seq106	Seq100,Seq101,Seq105,Seq106	9	200	4.500000
Seq100|Seq101|Seq105|Seq106|Seq124|Seq125	Seq100,Seq101,Seq105,Seq106,Seq124,Seq125	2	200	1.000000
Seq100|Seq102|Seq103|Seq104|Seq105|Seq106|Seq107|Seq108|Seq109|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120|Seq121|Seq122|Seq123	Seq100,Seq102,Seq103,Seq104,Seq105,Seq106,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123	191	200	95.500000
Seq100|Seq104|Seq105|Seq106|Seq107|Seq108|Seq109|Seq110|Seq111|Seq112|Seq113|Seq114|Seq115|Seq116|Seq117|Seq118|Seq119|Seq120|Seq121|Seq122|Seq123	Seq100,Seq104,Seq105,Seq106,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123	187	200	93.500000
Seq100|Seq105	Seq100,Seq105	197	200	98.500000
Seq100|Seq105|Seq106	Seq100,Seq105,Seq106	200	200	100.000000
Seq100|Seq106	Seq100,Seq106	3	200	1.500000
Seq101|Seq124|Seq125	Seq101,Seq124,Seq125	185	200	92.500000
Seq102|Seq103	Seq102,Seq103	200	200	100.000000
